case_identifier,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,educ_baseline,presvote16post_2016
779,6,94952,1931,2,1,5,1
2108,4,85298,1952,2,1,3,2
2597,55,54904,1931,1,1,2,1
4148,40,74104,1959,1,1,3,3
4460,48,78253,1952,1,1,5,2
5225,6,94954,1939,2,1,4,1
5903,21,40601,1959,2,2,6,1
6059,55,53142,1944,1,1,2,2
8048,6,94707,1969,1,1,5,1
9869,50,5733,1961,2,1,3,1
13112,42,15001,1948,1,1,6,1
14087,12,32145,1951,2,1,5,1
14474,53,98229,1968,1,1,3,2
14507,53,98387,1963,2,1,6,1
15464,31,68526,1947,2,1,6,1
20459,53,98023,1956,2,1,5,1
25193,6,94402,1960,1,1,5,1
27599,47,37135,1958,1,1,5,2
2035940,25,1035,1942,1,1,5,1
6000479,32,89183,1983,1,1,3,1
6000794,42,18353,1962,1,1,6,2
6001082,24,20782,1945,2,3,3,1
6002069,6,94118,1951,2,1,5,2
6004538,6,90254,1975,1,1,5,6
6006515,6,92782,1961,1,4,5,2
6008999,6,91364,1961,2,1,5,2
6009677,8,80023,1953,1,3,3,3
6010778,40,74802,1947,2,1,5,1
6013199,4,85283,1948,1,1,3,2
6014066,4,85254,1960,2,1,5,1
6014345,4,85050,1956,1,3,5,1
6015176,4,85326,1951,1,1,2,2
6018461,4,85375,1939,2,1,2,2
6020087,4,85020,1952,2,1,6,2
6021503,4,85213,1963,2,6,2,1
6022898,4,85254,1962,2,1,6,2
6023987,4,85226,1942,1,1,4,2
6024683,4,85028,1960,1,1,3,2
6026186,4,85375,1948,1,3,5,1
6026195,8,80634,1957,2,1,3,1
6026246,4,85013,1939,1,1,2,1
6026537,4,85022,1950,1,1,4,2
6028715,4,85029,1952,1,1,4,2
6032768,5,72758,1968,1,1,3,2
6033338,4,85086,1968,1,1,5,2
6035645,28,39702,1972,2,1,2,2
6036608,36,11103,1974,2,2,5,1
6038444,48,76112,1952,1,2,3,1
6041060,17,60477,1925,2,1,2,2
6046208,41,97034,1950,1,1,6,2
6048548,6,91786,1933,2,6,5,1
6051575,13,31404,1958,1,1,4,1
6054065,4,85745,1950,1,1,4,1
6057581,53,98499,1950,1,3,2,2
6059078,32,89074,1963,2,1,2,2
6061217,17,61924,1972,1,1,3,2
6061877,6,94566,1940,1,1,5,1
6061937,6,92064,1958,1,1,5,1
6062156,53,98105,1954,2,1,6,1
6063833,51,23185,1961,2,,6,1
6064967,35,87113,1980,1,1,5,1
6067322,8,80260,1955,2,1,6,1
6067754,33,3743,1972,1,1,5,2
6070919,6,93110,1970,1,1,6,2
6072560,6,94070,1950,1,1,6,1
6073346,39,44281,1934,1,1,5,1
