case_identifier,pp_primary16_2016,pp_demprim16_2016,pp_repprim16_2016,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,race_other_baseline,educ_baseline,child18_baseline,child18num_baseline,job_baseline,employstat2_baseline,industry_baseline,occupationcat_baseline,presvote16post_2016
779,1,1,,6,94952,1931,2,1,,5,2,,,5,,3,1
2108,2,,1,4,85298,1952,2,1,,3,2,,,6,,8,2
2597,1,1,,55,54904,1931,1,1,,2,2,,,5,,1,1
4148,1,3,,40,74104,1959,1,1,,3,2,,,1,51,1,3
4460,2,,4,48,78253,1952,1,1,,5,2,,,2,71,1,2
5225,1,1,,6,94954,1939,2,1,,4,2,,,5,,8,1
5903,1,2,,21,40601,1959,2,2,,6,1,1,,1,62,2,1
6059,2,,1,55,53142,1944,1,1,,2,2,,,5,,8,2
8048,1,1,,6,94707,1969,1,1,,5,2,,,1,54,1,1
9869,1,2,,50,5733,1961,2,1,,3,2,,,6,,12,1
13112,1,1,,42,15001,1948,1,1,,6,2,,,1,48,1,1
14087,3,,,12,32145,1951,2,1,,5,2,,,5,,8,1
14474,2,,3,53,98229,1968,1,1,,3,1,2,1,,92,3,2
14507,1,1,,53,98387,1963,2,1,,6,2,,,2,54,1,1
15464,1,1,,31,68526,1947,2,1,,6,2,,,1,81,2,1
20459,1,2,,53,98023,1956,2,1,,5,2,,,1,44,6,1
25193,1,1,,6,94402,1960,1,1,,5,1,2,,2,81,2,1
27599,2,,3,47,37135,1958,1,1,,5,2,,,3,23,5,2
2035940,1,2,,25,1035,1942,1,1,,5,1,2,,5,,1,1
6000479,3,,,32,89183,1983,1,1,,3,2,,,2,71,12,1
6000794,2,,3,42,18353,1962,1,1,,6,1,1,,1,61,1,2
6001082,1,1,,24,20782,1945,2,3,,3,2,,,1,92,6,1
6002069,2,,1,6,94118,1951,2,1,,5,2,,,4,,6,2
6004538,3,,,6,90254,1975,1,1,,5,2,,,1,71,3,6
6006515,2,,3,6,92782,1961,1,4,,5,1,2,,1,54,4,2
6008999,1,2,,6,91364,1961,2,1,,5,2,,,3,52,5,2
6009677,4,,,8,80023,1953,1,3,,3,2,,,1,54,3,3
6010778,1,1,,40,74802,1947,2,1,,5,2,,,3,52,5,1
6013199,2,,3,4,85283,1948,1,1,,3,2,,,2,52,6,2
6014066,1,1,,4,85254,1960,2,1,,5,2,,,1,54,1,1
6014345,2,,2,4,85050,1956,1,3,,5,2,,,1,52,5,1
6015176,2,,1,4,85326,1951,1,1,,2,2,,,4,,11,2
6018461,2,,1,4,85375,1939,2,1,,2,2,,,5,,8,2
6020087,2,,1,4,85020,1952,2,1,,6,2,,,6,,12,2
6021503,1,2,,4,85213,1963,2,6,,2,1,1,,3,81,5,1
6022898,2,,4,4,85254,1962,2,1,,6,2,,,1,62,1,2
6023987,2,,4,4,85226,1942,1,1,,4,2,,,5,,8,2
6024683,2,,1,4,85028,1960,1,1,,3,2,,,4,,11,2
6026186,1,2,,4,85375,1948,1,3,,5,2,,,5,,1,1
6026195,1,2,,8,80634,1957,2,1,,3,2,,,6,,8,1
6026246,1,1,,4,85013,1939,1,1,,2,2,,,5,,8,1
6026537,2,,1,4,85022,1950,1,1,,4,2,,,3,31,5,2
6028715,2,,1,4,85029,1952,1,1,,4,2,,,3,23,5,2
6032768,2,,3,5,72758,1968,1,1,,3,1,2,,1,44,1,2
6033338,2,,1,4,85086,1968,1,1,,5,1,1,,4,,11,2
6035645,4,,,28,39702,1972,2,1,,2,2,,,2,81,6,2
6036608,1,1,,36,11103,1974,2,2,,5,1,2,,2,61,1,1
6038444,1,1,,48,76112,1952,1,2,,3,2,,,1,71,3,1
6041060,2,,3,17,60477,1925,2,1,,2,2,,,5,,8,2
6046208,2,,1,41,97034,1950,1,1,,6,2,,,3,54,1,2
6048548,1,1,,6,91786,1933,2,6,,5,2,,,5,,8,1
6051575,1,1,,13,31404,1958,1,1,,4,2,,,1,81,1,1
6054065,1,1,,4,85745,1950,1,1,,4,2,,,1,62,1,1
6057581,2,,1,53,98499,1950,1,3,,2,1,1,,2,23,2,2
6059078,2,,3,32,89074,1963,2,1,,2,1,1,,7,,9,2
6061217,2,,5,17,61924,1972,1,1,,3,1,2,,1,31,3,2
6061877,1,2,,6,94566,1940,1,1,,5,2,,,3,51,5,1
6061937,1,1,,6,92064,1958,1,1,,5,2,,,1,31,3,1
6062156,1,4,,53,98105,1954,2,1,,6,2,,,3,71,1,1
6063833,1,1,,51,23185,1961,2,,,6,2,,,1,92,3,1
6064967,1,1,,35,87113,1980,1,1,,5,2,,,1,92,1,1
6067322,3,,,8,80260,1955,2,1,,6,2,,,3,54,1,1
6067754,2,,2,33,3743,1972,1,1,,5,1,2,,1,61,1,2
6070919,2,,3,6,93110,1970,1,1,,6,1,3,,3,62,1,2
6072560,1,1,,6,94070,1950,1,1,,6,2,,,1,54,1,1
6073346,1,1,,39,44281,1934,1,1,,5,2,,,5,,3,1
6074072,2,,4,25,1879,1941,2,1,,2,2,,,5,,6,1
6079028,3,,,6,92128,1954,1,1,,6,2,,,5,,3,1
6079631,1,2,,4,85119,1962,1,1,,4,2,,,4,,11,1
6081782,1,1,,12,33544,1952,1,2,,4,1,1,,5,,8,1
6082415,2,,5,6,92234,1952,1,1,,5,2,,,1,62,1,1
6082955,1,2,,6,94114,1961,1,3,,5,2,,,1,48,1,1
